model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,layer_strategy,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
smollm2_360m_instruct,instruct,capital,capital:14,capital:15,chat_template,qa,plus_one,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.11181187629699707,0.11268651485443115,0.000874638557434082,0.0,0.0,0.0,0.0,0.11340099573135376,0.0015891194343566895,0.0,0.0,0.0,0.0,0.11366254091262817,0.0018506646156311035,0.0,0.0,0.0,0.0,0.0,0.0,-0.02147442102432251,-0.019835710525512695,0.0016387104988098145,0.0,0.0,0.0,0.0,-0.017623305320739746,0.0038511157035827637,0.0,0.0,0.0,0.0,-0.024021804332733154,-0.0025473833084106445
smollm2_360m_instruct,instruct,capital,capital:15,capital:16,chat_template,qa,plus_one,1,27,1.0,0.0,-1.0,1.0,0.0,-1.0,0.14457309246063232,0.1555691957473755,0.010996103286743164,1.0,0.0,1.0,0.0,0.13068097829818726,-0.013892114162445068,1.0,0.0,1.0,0.0,0.14868152141571045,0.004108428955078125,0.0,0.0,0.0,0.0,0.0,0.0,-0.04661160707473755,-0.04026907682418823,0.006342530250549316,0.0,0.0,0.0,0.0,-0.04019021987915039,0.006421387195587158,0.0,0.0,0.0,0.0,-0.046669840812683105,-5.823373794555664e-05
smollm2_360m_instruct,instruct,capital,capital:16,capital:17,chat_template,qa,plus_one,1,27,1.0,1.0,0.0,1.0,1.0,0.0,0.12164318561553955,0.11241680383682251,-0.009226381778717041,1.0,0.0,1.0,0.0,0.1268066167831421,0.005163431167602539,1.0,0.0,1.0,0.0,0.12091505527496338,-0.0007281303405761719,0.0,0.0,0.0,0.0,0.0,0.0,-0.010020017623901367,0.002134084701538086,0.012154102325439453,0.0,0.0,0.0,0.0,4.857778549194336e-05,0.01006859540939331,0.0,0.0,0.0,0.0,-0.013755202293395996,-0.003735184669494629
smollm2_360m_instruct,instruct,capital,capital:17,capital:2,chat_template,qa,plus_one,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.12868213653564453,0.1363573670387268,0.007675230503082275,0.0,0.0,0.0,0.0,0.13285642862319946,0.004174292087554932,0.0,0.0,0.0,0.0,0.13121110200881958,0.002528965473175049,0.0,0.0,0.0,0.0,0.0,0.0,-0.03519248962402344,-0.028313934803009033,0.006878554821014404,0.0,0.0,0.0,0.0,-0.026248574256896973,0.008943915367126465,0.0,0.0,0.0,0.0,-0.03252458572387695,0.0026679039001464844
smollm2_360m_instruct,instruct,official_language,official_language:14,official_language:15,chat_template,qa,plus_one,1,27,0.25,0.25,0.0,0.0,0.0,0.0,0.03851717710494995,0.035647034645080566,-0.0028701424598693848,0.25,0.0,0.0,0.0,0.03736758232116699,-0.001149594783782959,0.25,0.0,0.0,0.0,0.03762996196746826,-0.0008872151374816895,0.0,0.0,0.0,0.0,0.0,0.0,0.00046706199645996094,-0.000512540340423584,-0.000979602336883545,0.0,0.0,0.0,0.0,0.011616766452789307,0.011149704456329346,0.0,0.0,0.0,0.0,-0.004284262657165527,-0.004751324653625488
smollm2_360m_instruct,instruct,official_language,official_language:15,official_language:16,chat_template,qa,plus_one,1,27,0.25,0.0,-0.25,0.25,0.0,-0.25,0.05559134483337402,0.06500756740570068,0.00941622257232666,0.25,0.0,0.25,0.0,0.0609317421913147,0.005340397357940674,0.25,0.0,0.25,0.0,0.0535130500793457,-0.0020782947540283203,0.0,0.0,0.0,0.0,0.0,0.0,-0.022407233715057373,-0.010256171226501465,0.012151062488555908,0.0,0.0,0.0,0.0,-0.008433043956756592,0.013974189758300781,0.0,0.0,0.0,0.0,-0.01700955629348755,0.005397677421569824
smollm2_360m_instruct,instruct,official_language,official_language:16,official_language:17,chat_template,qa,plus_one,1,27,0.25,0.25,0.0,0.25,0.25,0.0,0.060803115367889404,0.06200551986694336,0.001202404499053955,1.0,0.75,1.0,0.75,0.06987577676773071,0.009072661399841309,0.25,0.0,0.25,0.0,0.060301780700683594,-0.0005013346672058105,0.0,0.0,0.0,0.0,0.0,0.0,-0.006530106067657471,0.006108343601226807,0.012638449668884277,0.0,0.0,0.0,0.0,0.004867732524871826,0.011397838592529297,0.0,0.0,0.0,0.0,-0.0050269365310668945,0.0015031695365905762
smollm2_360m_instruct,instruct,official_language,official_language:17,official_language:2,chat_template,qa,plus_one,1,27,0.25,1.0,0.75,0.25,1.0,0.75,0.038913071155548096,0.04578530788421631,0.006872236728668213,1.0,0.75,1.0,0.75,0.04750227928161621,0.008589208126068115,0.25,0.0,0.25,0.0,0.03952491283416748,0.0006118416786193848,0.0,0.0,0.0,0.0,0.0,0.0,-0.007018387317657471,0.000368654727935791,0.007387042045593262,0.0,0.0,0.0,0.0,-0.00036525726318359375,0.006653130054473877,0.0,0.0,0.0,0.0,-0.009675264358520508,-0.002656877040863037
smollm2_360m_instruct,instruct,currency,currency:14,currency:15,chat_template,qa,plus_one,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.06418979167938232,0.0666881799697876,0.0024983882904052734,0.0,0.0,0.0,0.0,0.0676087737083435,0.0034189820289611816,0.0,0.0,0.0,0.0,0.06632065773010254,0.002130866050720215,0.0,0.0,0.0,0.0,0.0,0.0,0.00493776798248291,0.006781041622161865,0.001843273639678955,0.8,0.8,0.4,0.4,0.01204824447631836,0.007110476493835449,0.0,0.0,0.0,0.0,0.0053032636642456055,0.0003654956817626953
smollm2_360m_instruct,instruct,currency,currency:15,currency:16,chat_template,qa,plus_one,1,27,0.8,0.8,0.0,0.8,0.8,0.0,0.11791032552719116,0.1156623363494873,-0.0022479891777038574,0.8,0.0,0.8,0.0,0.1172437071800232,-0.0006666183471679688,0.8,0.0,0.8,0.0,0.11475616693496704,-0.003154158592224121,0.0,0.8,0.8,0.0,0.8,0.8,-0.029229342937469482,-0.020502209663391113,0.00872713327407837,0.8,0.8,0.8,0.8,-0.01999056339263916,0.009238779544830322,0.0,0.0,0.0,0.0,-0.023925960063934326,0.005303382873535156
