case_id,layer,cosine_similarity
10217,10,0.960496311341748
10217,10,0.9741657213049176
10217,11,0.9171303660092172
10217,11,0.9476302509709635
10217,12,0.875244826735379
10217,12,0.921321388124708
10217,13,0.8984813752641996
10217,13,0.9445108396517852
10217,14,0.9044000549346328
10217,14,0.9536206101478378
10217,15,0.866338456582564
10217,15,0.9361696532502094
10217,16,0.8999578945163785
10217,16,0.9533487804248943
10217,17,0.7510151907723206
10217,17,0.8711260618920034
10223,0,0.9956958126707468
10223,0,0.9940235190765233
10223,1,0.9991212515235094
10223,1,0.9988128747510877
10223,2,0.9977249948596028
10223,2,0.9902800111362005
10223,3,0.9769990403645488
10223,3,0.9726975802643133
10223,4,0.9720032249170567
10223,4,0.9726088170990341
10223,5,0.9947742534245361
10223,5,0.9920231494064023
10223,6,0.9959806109164778
10223,6,0.9914018991804225
10223,7,0.9976345146265849
10223,7,0.9962441784741994
10223,8,0.9970597039177761
10223,8,0.995780878339716
10223,9,0.9957885192611396
10223,9,0.9939316388516335
10223,10,0.9960189822703044
10223,10,0.9920296489639884
10223,11,0.991127139142185
10223,11,0.9654814329235416
10223,12,0.98467801574229
10223,12,0.7946714866409414
10223,13,0.9892805132500445
10223,13,0.9304438200104672
10223,14,0.9927446605386906
10223,14,0.9551121114094009
10223,15,0.9907688753450268
10223,15,0.9485282543383902
10223,16,0.9918663981394625
10223,16,0.963193095583488
10223,17,0.9684315591555811
10223,17,0.9009085846974347
12420,0,0.9994856303645403
12420,0,0.9187776063822071
12420,1,0.9998810056909337
12420,1,0.993786377645417
12420,2,0.9994661689577243
12420,2,0.9839264644756458
12420,3,0.9982479342935138
12420,3,0.9037809337289214
12420,4,0.9977171119234762
12420,4,0.935673123513601
12420,5,0.9972651329477086
12420,5,0.9614106727593554
12420,6,0.9968744393259249
12420,6,0.9480072957442287
12420,7,0.9980684730467042
12420,7,0.9848187993009929
12420,8,0.9980125672069181
12420,8,0.9824083278805915
12420,9,0.9951503248429471
12420,9,0.9839214266969943
12420,10,0.9939378209720916
12420,10,0.9872302272457166
12420,11,0.9723901756395522
12420,11,0.9786412274929803
12420,12,0.9003985538097152
12420,12,0.9792087800188652
12420,13,0.9530194259484218
12420,13,0.9851024364584939
12420,14,0.9686495853622781
12420,14,0.988819235175102
12420,15,0.9593906331621005
12420,15,0.9866600408404045
12420,16,0.9749091053534502
12420,16,0.9895465608511586
12420,17,0.8973280246927916
12420,17,0.9537241687352578
13752,0,0.9933516730137067
13752,0,0.9885862805714101
13752,1,0.9986802658370406
13752,1,0.9984354474051782
13752,2,0.9889455769171698
13752,2,0.9929150980909959
13752,3,0.9921848773209925
13752,3,0.99284927713921
13752,4,0.9937626252830113
13752,4,0.994643705217293
13752,5,0.9942604950313244
13752,5,0.9955322012312988
13752,6,0.9928882814762582
13752,6,0.9926238924290135
13752,7,0.9954417329922896
13752,7,0.9904331990358622
13752,8,0.9938514261057448
13752,8,0.99399042207175
13752,9,0.9864089020227989
13752,9,0.9881556717129716
13752,10,0.9843606509706229
13752,10,0.9874480833446481
13752,11,0.9524314680651461
13752,11,0.9765651105664556
13752,12,0.8851589129299762
13752,12,0.9369235587544084
13752,13,0.9334700826622185
13752,13,0.9655138086543581
13752,14,0.929217212226107
13752,14,0.9695615542790562
13752,15,0.9196813774353869
13752,15,0.9581542388478974
13752,16,0.9334206538582205
13752,16,0.9660103294547062
13752,17,0.73922548443203
13752,17,0.8403741194501662
14279,0,0.06929732272508506
14279,0,0.9408240169283145
14279,1,0.9612375265620483
14279,1,0.9824204648711068
14279,2,0.9490408209512255
14279,2,0.9670696813508585
14279,3,0.8965220921093707
14279,3,0.8997904335524397
14279,4,0.9276484530334775
14279,4,0.9195520360402213
14279,5,0.9616174199503502
14279,5,0.9576894953364515
14279,6,0.9510063496162938
14279,6,0.878086692463964
14279,7,0.9806660544423698
14279,7,0.9816174953819653
14279,8,0.9840070881847489
14279,8,0.9812163552725051
14279,9,0.9824319873354567
14279,9,0.9772677758778789
14279,10,0.9788966768147561
14279,10,0.9689265622407556
14279,11,0.9334288871577041
14279,11,0.9349403351275467
14279,12,0.9146474987809341
14279,12,0.9259177580188142
14279,13,0.939994763442544
14279,13,0.9425979466433388
14279,14,0.9394170188845286
14279,14,0.9452274886976493
14279,15,0.9333183532900015
14279,15,0.9353783689791441
14279,16,0.9504639684539672
14279,16,0.9487145444843627
14279,17,0.7353529465038531
14279,17,0.7747560754054494
14527,0,0.9260736197972115
14527,0,0.9484051245486953
14527,1,0.9796142166170324
