fact_id,relation,position,layer,within_fact_similarity,same_relation_similarity,invariance_gap,split_eval,analysis_variant
capital:4,capital,subject,1,0.9020735919475555,0.8312004835290068,0.07087310841854877,all,all_families
capital:4,capital,subject,2,0.9012752075990041,0.8308780025690794,0.07039720502992475,all,all_families
capital:4,capital,subject,3,0.8697300056616465,0.7991552978534909,0.07057470780815556,all,all_families
capital:4,capital,subject,4,0.8719214598337809,0.7991300444392597,0.07279141539452116,all,all_families
capital:4,capital,subject,5,0.8548266390959421,0.7829094713225084,0.07191716777343371,all,all_families
capital:4,capital,subject,6,0.8542762796084086,0.7987113132634583,0.05556496634495023,all,all_families
capital:4,capital,subject,7,0.8585015634695689,0.8066930824562031,0.05180848101336577,all,all_families
capital:4,capital,subject,8,0.8568997581799825,0.8061047250076252,0.05079503317235734,all,all_families
capital:4,capital,subject,9,0.85331263144811,0.8053771353819791,0.0479354960661309,all,all_families
capital:4,capital,subject,10,0.8355867266654968,0.7900383503121489,0.045548376353347964,all,all_families
capital:4,capital,subject,11,0.8391496042410532,0.7943474888144171,0.04480211542663615,all,all_families
capital:4,capital,subject,12,0.8447317481040955,0.797238779199474,0.04749296890462151,all,all_families
capital:4,capital,subject,13,0.8455574115117391,0.8043969808255925,0.04116043068614661,all,all_families
capital:4,capital,subject,14,0.855421374241511,0.8189377155812347,0.03648365866027625,all,all_families
capital:4,capital,subject,15,0.8730847736199697,0.8350446138750104,0.038040159744959334,all,all_families
capital:4,capital,subject,16,0.8864888846874237,0.8433906400904936,0.043098244596930124,all,all_families
capital:4,capital,subject,17,0.8807117442289988,0.837864981197259,0.04284676303173973,all,all_families
capital:4,capital,subject,18,0.8654042482376099,0.8287412947153344,0.03666295352227544,all,all_families
capital:4,capital,subject,19,0.8632578949133555,0.841661146896727,0.021596748016628475,all,all_families
capital:4,capital,subject,20,0.8413069446881613,0.8216871305861894,0.01961981410197189,all,all_families
capital:4,capital,subject,21,0.8297684987386068,0.821413219851606,0.008355278887000828,all,all_families
capital:4,capital,subject,22,0.7823027968406677,0.7868256327860496,-0.004522835945381831,all,all_families
capital:4,capital,subject,23,0.714665005604426,0.7381118927150965,-0.023446887110670445,all,all_families
capital:4,capital,subject,24,0.7069280445575714,0.7402015961706638,-0.03327355161309242,all,all_families
capital:4,capital,subject,25,0.6498447855313619,0.6989217326045036,-0.0490769470731417,all,all_families
capital:4,capital,subject,26,0.6050197581450144,0.66943639867446,-0.06441664052944562,all,all_families
capital:4,capital,subject,27,0.5908274501562119,0.647197908776648,-0.056370458620436104,all,all_families
capital:4,capital,subject,28,0.5826912770668665,0.6461337665643763,-0.06344248949750975,all,all_families
capital:4,capital,subject,29,0.5926597168048223,0.6620077703367261,-0.06934805353190376,all,all_families
capital:4,capital,subject,30,0.5882436086734136,0.6512488004039315,-0.06300519173051788,all,all_families
capital:4,capital,subject,31,0.5468339622020721,0.5890298342770514,-0.04219587207497921,all,all_families
