position,layer,within_fact_similarity,same_relation_similarity,global_other_similarity,invariance_gap,family_centroid_separation,model_name,model_variant
subject,22,0.7834294678436385,0.7397164822452598,0.7460703671288987,0.0437129855983787,0.1624282300472259,qwen2_5_0_5b_base,base
subject,23,0.5789623012145361,0.5491991990970241,0.560654736822471,0.0297631021175119,0.3553923517465591,qwen2_5_0_5b_base,base
preanswer,0,0.3849012868271934,0.537358197176622,0.5374825003479297,-0.1524569103494286,0.6142113457123438,qwen2_5_0_5b_base,base
preanswer,1,0.6024321114851369,0.7001777280949883,0.6994479732432713,-0.0977456166098514,0.3950075407822926,qwen2_5_0_5b_base,base
preanswer,2,0.4563248236146238,0.5900684278458357,0.5879130740649998,-0.1337436042312119,0.5399189541737238,qwen2_5_0_5b_base,base
preanswer,3,0.4859304821325673,0.6119383838441637,0.6088608331823101,-0.1260079017115963,0.5085947612921397,qwen2_5_0_5b_base,base
preanswer,4,0.4887461082802878,0.6112190959975123,0.6073090713083124,-0.1224729877172244,0.5045993477106094,qwen2_5_0_5b_base,base
preanswer,5,0.4837317239079211,0.6085954283674558,0.600198681311061,-0.1248637044595347,0.5054702659447988,qwen2_5_0_5b_base,base
preanswer,6,0.4758138209581375,0.6031304171515836,0.5927853991355126,-0.127316596193446,0.5119229455788931,qwen2_5_0_5b_base,base
preanswer,7,0.5132151254349284,0.6316199988747636,0.6197861597562829,-0.1184048734398351,0.4726039717594782,qwen2_5_0_5b_base,base
preanswer,8,0.5151124017106162,0.6315924079260893,0.6207240597577766,-0.116480006215473,0.4707828213771184,qwen2_5_0_5b_base,base
preanswer,9,0.558178585436609,0.6644470495068364,0.6534572163363919,-0.1062684640702273,0.4274487892786662,qwen2_5_0_5b_base,base
preanswer,10,0.5385384638276365,0.6494260966363881,0.6349645044732218,-0.1108876328087515,0.4468303173780441,qwen2_5_0_5b_base,base
preanswer,11,0.5503208231594827,0.6595327479557859,0.6439774190851798,-0.1092119247963031,0.4334330310424168,qwen2_5_0_5b_base,base
preanswer,12,0.5597345601353381,0.6662249185351862,0.6508597955107689,-0.1064903583998481,0.4253435830275218,qwen2_5_0_5b_base,base
preanswer,13,0.5713883667356439,0.6752425577077601,0.6609315027405197,-0.1038541909721162,0.4139990011850993,qwen2_5_0_5b_base,base
preanswer,14,0.6402421568830808,0.7249370285620292,0.6904208769168084,-0.0846948716789484,0.342544933160146,qwen2_5_0_5b_base,base
preanswer,15,0.6464685441719161,0.7293007867410779,0.6851891688226411,-0.0828322425691617,0.3355885644753774,qwen2_5_0_5b_base,base
preanswer,16,0.6913595464494493,0.7634794206048051,0.7190861970108623,-0.0721198741553558,0.2869791785875956,qwen2_5_0_5b_base,base
preanswer,17,0.7472447711560462,0.8026825274444289,0.7693575235704581,-0.0554377562883827,0.2286383211612701,qwen2_5_0_5b_base,base
preanswer,18,0.7597905612654157,0.8130960764570369,0.761675304810827,-0.0533055151916211,0.2089632153511047,qwen2_5_0_5b_base,base
preanswer,19,0.7490617740485404,0.8049713025490443,0.7449381637076536,-0.0559095285005039,0.2135116755962371,qwen2_5_0_5b_base,base
preanswer,20,0.7550476632184453,0.7937465550171005,0.711635081951196,-0.0386988917986551,0.2027905285358429,qwen2_5_0_5b_base,base
preanswer,21,0.7684952020645142,0.7575633218511939,0.7105144105153158,0.0109318802133202,0.1820128659407297,qwen2_5_0_5b_base,base
preanswer,22,0.7564044565790229,0.7388162637750307,0.6996263016480953,0.0175881928039921,0.1961537500222524,qwen2_5_0_5b_base,base
preanswer,23,0.4175140865328204,0.491995429341235,0.453653617465837,-0.0744813428084146,0.5865377703060707,qwen2_5_0_5b_base,base
